first_name,last_name,first_kana,last_kana,faction,precinct
安達,澄,あだち,きよし,無所属,大分
足立,信也,あだち,しんや,,大分
足立,敏之,あだち,としゆき,自民,比例
阿達,雅志,あだち,まさし,自民,比例
青木,愛,あおき,あい,,比例
青木,一彦,あおき,かずひこ,自民,"鳥取,島根"
青山,繁晴,あおやま,しげはる,自民,比例
赤池,誠章,あかいけ,まさあき,自民,比例
秋野,公造,あきの,こうぞう,公明,比例
浅田,均,あさだ,ひとし,維新,大阪
朝日,健太郎,あさひ,けんたろう,自民,東京
東,徹,あずま,とおる,維新,大阪
有田,芳生,ありた,よしふ,,比例
有村,治子,ありむら,はるこ,自民,比例
井上,哲士,いのうえ,さとし,共産,比例
伊藤,岳,いとう,がく,共産,埼玉
伊藤,孝江,いとう,たかえ,公明,兵庫
伊藤,孝恵,いとう,たかえ,,愛知
伊波,洋一,いは,よういち,沖縄,沖縄
石井,章,いしい,あきら,維新,比例
石井,準一,いしい,じゅんいち,自民,千葉
石井,浩郎,いしい,ひろお,自民,秋田
石井,正弘,いしい,まさひろ,自民,岡山
石井,苗子,いしい,みつこ,維新,比例
石垣,のりこ,いしがき,のりこ,,宮城
石川,大我,いしかわ,たいが,,比例
石川,博崇,いしかわ,ひろたか,公明,大阪
石田,昌宏,いしだ,まさひろ,自民,比例
石橋,通宏,いしばし,みちひろ,,比例
磯崎,仁彦,いそざき,よしひこ,自民,香川
礒崎,哲史,いそざき,てつじ,,比例
市田,忠義,いちだ,ただよし,共産,比例
猪口,邦子,いのぐち,くにこ,自民,千葉
今井,絵理子,いまい,えりこ,自民,比例
岩井,茂樹,いわい,しげき,自民,静岡
岩渕,友,いわぶち,とも,共産,比例
岩本,剛人,いわもと,つよひと,自民,北海道
宇都,隆史,うと,たかし,自民,比例
上田,清司,うえだ,きよし,無所属,埼玉
上野,通子,うえの,みちこ,自民,栃木
打越,さく良,うちこし,さくら,,新潟
梅村,聡,うめむら,さとし,維新,比例
梅村,みずほ,うめむら,みずほ,維新,大阪
江崎,孝,えさき,たかし,,比例
江島,潔,えじま,きよし,自民,山口
衛藤,晟一,えとう,せいいち,自民,比例
小川,克巳,おがわ,かつみ,自民,比例
小川,敏夫,おがわ,としお,無所属,東京
小沢,雅仁,おざわ,まさひと,,比例
小沼,巧,おぬま,たくみ,,茨城
小野田,紀美,おのだ,きみ,自民,岡山
尾辻,秀久,おつじ,ひでひさ,自民,鹿児島
大家,敏志,おおいえ,さとし,自民,福岡
大塚,耕平,おおつか,こうへい,,愛知
大野,泰正,おおの,やすただ,自民,岐阜
太田,房江,おおた,ふさえ,自民,大阪
岡田,直樹,おかだ,なおき,自民,石川
岡田,広,おかだ,ひろし,自民,茨城
音喜多,駿,おときた,しゅん,維新,東京
加田,裕之,かだ,ひろゆき,自民,兵庫
嘉田,由紀子,かだ,ゆきこ,碧水,滋賀
片山,さつき,かたやま,さつき,自民,比例
片山,大介,かたやま,だいすけ,維新,兵庫
片山,虎之助,かたやま,とらのすけ,維新,比例
勝部,賢志,かつべ,けんじ,,北海道
金子,原二郎,かねこ,げんじろう,自民,長崎
紙,智子,かみ,ともこ,共産,比例
川合,孝典,かわい,たかのり,,比例
川田,龍平,かわだ,りゅうへい,,比例
河井,あんり,かわい,あんり,自民,広島
河野,義博,かわの,よしひろ,公明,比例
木戸口,英司,きどぐち,えいじ,,岩手
木村,英子,きむら,えいこ,れ新,比例
吉良,よし子,きら,よしこ,共産,東京
岸,真紀子,きし,まきこ,,比例
北村,経夫,きたむら,つねお,自民,比例
熊谷,裕人,くまがい,ひろと,,埼玉
熊野,正士,くまの,せいし,公明,比例
倉林,明子,くらばやし,あきこ,共産,京都
郡司,彰,ぐんじ,あきら,,茨城
こやり,隆史,こやり,たかし,自民,滋賀
小池,晃,こいけ,あきら,共産,比例
小西,洋之,こにし,ひろゆき,,千葉
小林,正夫,こばやし,まさお,,比例
古賀,友一郎,こが,ゆういちろう,自民,長崎
古賀,之士,こが,ゆきひと,,福岡
上月,良祐,こうづき,りょうすけ,自民,茨城
佐々木,さやか,ささき,さやか,公明,神奈川
佐藤,啓,さとう,けい,自民,奈良
佐藤,信秋,さとう,のぶあき,自民,比例
佐藤,正久,さとう,まさひさ,自民,比例
斎藤,嘉隆,さいとう,よしたか,,愛知
酒井,庸行,さかい,やすゆき,自民,愛知
櫻井,充,さくらい,みつる,,宮城
里見,隆治,さとみ,りゅうじ,公明,愛知
山東,昭子,さんとう,あきこ,無所属,比例
清水,貴之,しみず,たかゆき,維新,兵庫
清水,真人,しみず,まさと,自民,群馬
自見,はなこ,じみ,はなこ,自民,比例
塩田,博昭,しおた,ひろあき,公明,比例
塩村,あやか,しおむら,あやか,,東京
芝,博一,しば,ひろかず,,三重
柴田,巧,しばた,たくみ,維新,比例
島村,大,しまむら,だい,自民,神奈川
下野,六太,しもの,ろくた,公明,福岡
進藤,金日子,しんどう,かねひこ,自民,比例
榛葉,賀津也,しんば,かづや,,静岡
須藤,元気,すどう,げんき,,比例
末松,信介,すえまつ,しんすけ,自民,兵庫
杉,久武,すぎ,ひさたけ,公明,大阪
杉尾,秀哉,すぎお,ひでや,,長野
鈴木,宗男,すずき,むねお,維新,比例
世耕,弘成,せこう,ひろしげ,自民,和歌山
関口,昌一,せきぐち,まさかず,自民,埼玉
そのだ,修光,そのだ,しゅうこう,自民,比例
田島,麻衣子,たじま,まいこ,,愛知
田名部,匡代,たなぶ,まさよ,,青森
田村,智子,たむら,ともこ,共産,比例
田村,まみ,たむら,まみ,,比例
大門,実紀史,だいもん,みきし,共産,比例
高階,恵美子,たかがい,えみこ,自民,比例
高木,かおり,たかぎ,かおり,維新,大阪
高瀬,弘美,たかせ,ひろみ,公明,福岡
高野,光二郎,たかの,こうじろう,自民,"徳島,高知"
高橋,克法,たかはし,かつのり,自民,栃木
高橋,はるみ,たかはし,はるみ,自民,北海道
高橋,光男,たかはし,みつお,公明,兵庫
高良,鉄美,たから,てつみ,沖縄,沖縄
滝沢,求,たきさわ,もとめ,自民,青森
滝波,宏文,たきなみ,ひろふみ,自民,福井
竹内,真二,たけうち,しんじ,公明,比例
竹谷,とし子,たけや,としこ,公明,東京
武田,良介,たけだ,りょうすけ,共産,比例
武見,敬三,たけみ,けいぞう,自民,東京
谷合,正明,たにあい,まさあき,公明,比例
柘植,芳文,つげ,よしふみ,自民,比例
鶴保,庸介,つるほ,ようすけ,自民,和歌山
寺田,静,てらた,しずか,無所属,秋田
堂故,茂,どうこ,しげる,自民,富山
徳茂,雅之,とくしげ,まさゆき,自民,比例
徳永,エリ,とくなが,えり,,北海道
豊田,俊郎,とよだ,としろう,自民,千葉
ながえ,孝子,ながえ,たかこ,碧水,愛媛
那谷屋,正義,なたにや,まさよし,,比例
中川,雅治,なかがわ,まさはる,自民,東京
中曽根,弘文,なかそね,ひろふみ,自民,群馬
中西,健治,なかにし,けんじ,自民,神奈川
中西,哲,なかにし,さとし,自民,比例
中西,祐介,なかにし,ゆうすけ,自民,"徳島,高知"
長浜,博行,ながはま,ひろゆき,,千葉
長峯,誠,ながみね,まこと,自民,宮崎
難波,奨二,なんば,しょうじ,,比例
二之湯,智,にのゆ,さとし,自民,京都
新妻,秀規,にいづま,ひでき,公明,比例
西田,昌司,にしだ,しょうじ,自民,京都
西田,実仁,にしだ,まこと,公明,埼玉
野上,浩太郎,のがみ,こうたろう,自民,富山
野田,国義,のだ,くによし,,福岡
野村,哲郎,のむら,てつろう,自民,鹿児島
羽田,雄一郎,はた,ゆういちろう,,長野
羽生田,俊,はにゅうだ,たかし,自民,比例
芳賀,道也,はが,みちや,,山形
長谷川,岳,はせがわ,がく,自民,北海道
馬場,成志,ばば,せいし,自民,熊本
白,眞勲,はく,しんくん,,比例
橋本,聖子,はしもと,せいこ,自民,比例
鉢呂,吉雄,はちろ,よしお,,北海道
浜口,誠,はまぐち,まこと,,比例
浜田,聡,はまだ,さとし,みん,比例
浜田,昌良,はまだ,まさよし,公明,比例
浜野,喜史,はまの,よしふみ,,比例
林,芳正,はやし,よしまさ,自民,山口
平木,大作,ひらき,だいさく,公明,比例
平山,佐知子,ひらやま,さちこ,無所属,静岡
福岡,資麿,ふくおか,たかまろ,自民,佐賀
福島,みずほ,ふくしま,みずほ,,比例
福山,哲郎,ふくやま,てつろう,,京都
藤井,基之,ふじい,もとゆき,自民,比例
藤川,政人,ふじかわ,まさひと,自民,愛知
藤木,眞也,ふじき,しんや,自民,比例
藤末,健三,ふじすえ,けんぞう,自民,比例
舟山,康江,ふなやま,やすえ,,山形
舩後,靖彦,ふなご,やすひこ,れ新,比例
古川,俊治,ふるかわ,としはる,自民,埼玉
堀井,巌,ほりい,いわお,自民,奈良
本田,顕子,ほんだ,あきこ,自民,比例
真山,勇一,まやま,ゆういち,,神奈川
舞立,昇治,まいたち,しょうじ,自民,"鳥取,島根"
牧野,たかお,まきの,たかお,自民,静岡
牧山,ひろえ,まきやま,ひろえ,,神奈川
増子,輝彦,ましこ,てるひこ,,福島
松川,るい,まつかわ,るい,自民,大阪
松沢,成文,まつざわ,しげふみ,維新,神奈川
松下,新平,まつした,しんぺい,自民,宮崎
松村,祥史,まつむら,よしふみ,自民,熊本
松山,政司,まつやま,まさじ,自民,福岡
丸川,珠代,まるかわ,たまよ,自民,東京
三浦,信祐,みうら,のぶひろ,公明,神奈川
三浦,靖,みうら,やすし,自民,比例
三木,亨,みき,とおる,自民,比例
三原,じゅん子,みはら,じゅんこ,自民,神奈川
三宅,伸吾,みやけ,しんご,自民,香川
水岡,俊一,みずおか,しゅんいち,,比例
水落,敏栄,みずおち,としえい,自民,比例
宮崎,雅夫,みやざき,まさお,自民,比例
宮崎,勝,みやざき,まさる,公明,比例
宮沢,由佳,みやざわ,ゆか,,山梨
宮沢,洋一,みやざわ,よういち,自民,広島
宮島,喜文,みやじま,よしふみ,自民,比例
宮本,周司,みやもと,しゅうじ,自民,比例
室井,邦彦,むろい,くにひこ,維新,比例
元榮,太一郎,もとえ,たいちろう,自民,千葉
森,まさこ,もり,まさこ,自民,福島
森,ゆうこ,もり,ゆうこ,,新潟
森本,真治,もりもと,しんじ,,広島
森屋,隆,もりや,たかし,,比例
森屋,宏,もりや,ひろし,自民,山梨
矢倉,克夫,やくら,かつお,公明,埼玉
矢田,わか子,やた,わかこ,,比例
安江,伸夫,やすえ,のぶお,公明,愛知
柳ヶ瀬,裕文,やながせ,ひろふみ,維新,比例
柳田,稔,やなぎだ,みのる,,広島
山口,那津男,やまぐち,なつお,公明,東京
山崎,正昭,やまざき,まさあき,自民,福井
山下,雄平,やました,ゆうへい,自民,佐賀
山下,芳生,やました,よしき,共産,比例
山添,拓,やまぞえ,たく,共産,東京
山田,修路,やまだ,しゅうじ,自民,石川
山田,太郎,やまだ,たろう,自民,比例
山田,俊男,やまだ,としお,自民,比例
山田,宏,やまだ,ひろし,自民,比例
山谷,えり子,やまたに,えりこ,自民,比例
山本,香苗,やまもと,かなえ,公明,比例
山本,順三,やまもと,じゅんぞう,自民,愛媛
山本,博司,やまもと,ひろし,公明,比例
横沢,高徳,よこさわ,たかのり,,岩手
横山,信一,よこやま,しんいち,公明,比例
吉川,沙織,よしかわ,さおり,,比例
吉川,ゆうみ,よしかわ,ゆうみ,自民,三重
吉田,忠智,よしだ,ただとも,,比例
蓮舫,,れんほう,,東京, 
和田,政宗,わだ,まさむね,自民,比例
若松,謙維,わかまつ,かねしげ,公明,比例
渡辺,猛之,わたなべ,たけゆき,自民,岐阜
渡辺,喜美,わたなべ,よしみ,みん,比例
